feature,chi2,dof,p_value,cramers_v,n_used
affordability_pressure_count,3379.3100184079976,4,0.0,0.34268197365265163,28777
mental_health_history_count,1683.266333900918,2,0.0,0.24185421483398004,28777
functioning_difficulty_count,339.04458485364455,8,1.970793204297097e-68,0.10854395647534358,28777
SEX_A,168.67052397805045,1,1.4439223380862844e-38,0.07656575532647085,28772
USUALPL_A,87.55363731939968,2,9.726782859733178e-20,0.055174080665991665,28761
poverty_group_imp,41.92515056413569,4,1.728830802193806e-08,0.03816933179177097,28777
LASTDR_A,32.85893168182017,6,1.1161924011167785e-05,0.03381179499969692,28742
DISAB3_A,31.624647177390642,1,1.870405490287022e-08,0.03315107622997181,28776
REGION,29.576977703085085,3,1.6937923455894624e-06,0.032059307608443506,28777
